insiderthreat,vector,date,user,source,action
0,2,1262592000,DTAA/EMZ0196,PC-1479,Connect
0,2,1262592120,DTAA/ZKH0388,PC-1021,Connect
0,2,1262593200,DTAA/RES0962,PC-3736,Disconnect
0,2,1262593380,DTAA/CVW0133,PC-0282,Connect
0,2,1262593740,DTAA/RQH0770,PC-4225,Connect
0,2,1262609880,DTAA/HCG0731,PC-4643,Connect
0,2,1262609940,DTAA/MAG0290,PC-4646,Connect
0,2,1262610060,DTAA/PUH0847,PC-2550,Connect
0,2,1262610120,DTAA/CHA0174,PC-2751,Disconnect
0,2,1262610180,DTAA/HDR0261,PC-2506,Connect
0,2,1262610300,DTAA/HCG0731,PC-4643,Disconnect
0,2,1262610420,DTAA/JCS0873,PC-1560,Disconnect
0,2,1262610780,DTAA/ODW0839,PC-1940,Connect
0,2,1262610840,DTAA/HNF0812,PC-4760,Disconnect
0,2,1262610900,DTAA/TLB0017,PC-0053,Connect
0,2,1262611380,DTAA/COS0121,PC-0462,Connect
0,2,1262611440,DTAA/XQW0354,PC-4067,Connect
0,2,1262611620,DTAA/JLM0053,PC-1334,Disconnect
0,2,1262611680,DTAA/PUH0847,PC-2550,Disconnect
0,2,1262611740,DTAA/XQW0354,PC-4067,Disconnect
0,2,1262611860,DTAA/SPK0818,PC-1938,Connect
0,2,1262612220,DTAA/HSD0519,PC-2047,Connect
0,2,1262612640,DTAA/NNB0443,PC-4625,Disconnect
0,2,1262612760,DTAA/HSD0519,PC-2047,Disconnect
0,2,1262612880,DTAA/MJM0469,PC-1592,Connect
0,2,1262613060,DTAA/AZC0030,PC-4724,Disconnect
0,2,1262613060,DTAA/TNB0740,PC-2015,Connect
0,2,1262613240,DTAA/ESB0080,PC-2529,Connect
0,2,1262613480,DTAA/DAV0579,PC-1701,Disconnect
0,2,1262613840,DTAA/SOM0478,PC-3348,Disconnect
0,2,1262613900,DTAA/IRC0991,PC-1118,Disconnect
0,2,1262613900,DTAA/AFR0646,PC-0323,Disconnect
0,2,1262614140,DTAA/TLB0017,PC-0053,Disconnect
0,2,1262614200,DTAA/MJM0469,PC-1592,Disconnect
0,2,1262614200,DTAA/SLC0778,PC-3199,Disconnect
0,2,1262614320,DTAA/LCK0666,PC-3245,Connect
0,2,1262614380,DTAA/MAG0290,PC-4646,Disconnect
0,2,1262614680,DTAA/CSC0297,PC-2848,Connect
0,2,1262614740,DTAA/RQH0770,PC-4225,Disconnect
0,2,1262614920,DTAA/EDH0146,PC-3973,Disconnect
0,2,1262615100,DTAA/AJA0220,PC-3872,Connect
0,2,1262615580,DTAA/KSB0673,PC-0847,Disconnect
0,2,1262615760,DTAA/RXE0207,PC-0650,Connect
0,2,1262616000,DTAA/SJH0588,PC-2512,Disconnect
0,2,1262616000,DTAA/ZKH0388,PC-1021,Disconnect
0,2,1262616420,DTAA/TNB0740,PC-2015,Disconnect
0,2,1262616480,DTAA/RCW0436,PC-3171,Connect
0,2,1262616480,DTAA/MXM0838,PC-4983,Connect
0,2,1262616780,DTAA/ODW0839,PC-1940,Disconnect
0,2,1262617020,DTAA/SAH0192,PC-4079,Connect
0,2,1262617200,DTAA/IKH0904,PC-3664,Connect
0,2,1262617500,DTAA/CAW0976,PC-4600,Connect
0,2,1262617920,DTAA/IKH0904,PC-3664,Disconnect
0,2,1262618100,DTAA/EMZ0196,PC-1479,Disconnect
0,2,1262618220,DTAA/COS0121,PC-0462,Disconnect
0,2,1262618220,DTAA/LRH0747,PC-2216,Connect
0,2,1262618520,DTAA/AMA0191,PC-4736,Connect
0,2,1262618580,DTAA/CSC0297,PC-2848,Disconnect
0,2,1262618820,DTAA/BGF0236,PC-1848,Disconnect
0,2,1262618880,DTAA/CHM0645,PC-1775,Connect
0,2,1262618880,DTAA/RXE0207,PC-0650,Disconnect
0,2,1262618880,DTAA/AJC0266,PC-4661,Connect
0,2,1262619180,DTAA/JZO0727,PC-2134,Disconnect
0,2,1262619300,DTAA/PSP0555,PC-0017,Disconnect
0,2,1262619600,DTAA/SAH0192,PC-4079,Disconnect
0,2,1262621280,DTAA/AJA0220,PC-3872,Disconnect
0,2,1262621460,DTAA/SHR0025,PC-0288,Connect
0,2,1262621640,DTAA/GRS0372,PC-2242,Disconnect
0,2,1262621700,DTAA/HSR0472,PC-3512,Connect
0,2,1262621700,DTAA/OJH0425,PC-1730,Disconnect
0,2,1262621820,DTAA/ATJ0284,PC-4337,Connect
0,2,1262622000,DTAA/SHR0025,PC-0288,Disconnect
0,2,1262622000,DTAA/WJG0153,PC-3249,Disconnect
0,2,1262622000,DTAA/JMS0793,PC-3179,Connect
0,2,1262622060,DTAA/MXM0838,PC-4983,Disconnect
1,0,1280707200,CCH0959,PC-0588,http://linkedin.com/jobs/displayhome.html
1,0,1280707200,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1280707200,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchall.aspx?sitesel=All
1,0,1280707200,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1280793600,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,0,1280793600,CCH0959,PC-0588,http://lockheedmartinjobs.com/college.asp
1,0,1280793600,CCH0959,PC-0588,http://simplyhired.com/Amanita_bisporigera/amanita.html
1,0,1280793600,CCH0959,PC-0588,http://aol.com/jobs/software.html
1,0,1280793600,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1280880000,CCH0959,PC-0588,http://lockheedmartinjobs.com/chat.asp
1,0,1280880000,CCH0959,PC-0588,http://simplyhired.com/Amanita_bisporigera/amanita.html
1,0,1280880000,CCH0959,PC-0588,http://lockheedmartinjobs.com/college.asp
1,0,1281571200,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1281571200,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,0,1281571200,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1281571200,CCH0959,PC-0588,http://careerbuilder.com/Bix_Beiderbecke/bix.html
1,0,1281571200,CCH0959,PC-0588,http://aol.com/jobs/software.html
1,0,1281571200,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1281657600,CCH0959,PC-0588,http://monster.com/BAE_Systems/yamamah.html
1,1,1281916800,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,17256
1,0,1281916800,CCH0959,PC-0588,http://aol.com/jobs/software.html
1,0,1281916800,CCH0959,PC-0588,http://careerbuilder.com/Bix_Beiderbecke/bix.html
1,0,1281916800,CCH0959,PC-0588,http://lockheedmartinjobs.com/college.asp
1,0,1282003200,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282003200,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282003200,CCH0959,PC-0588,http://aol.com/jobs/software.html
1,0,1282003200,CCH0959,PC-0588,http://simplyhired.com/Amanita_bisporigera/amanita.html
1,0,1282003200,CCH0959,PC-0588,http://lockheedmartinjobs.com/chat.asp
1,0,1282003200,CCH0959,PC-0588,http://linkedin.com/jobs/displayhome.html
1,0,1282003200,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,0,1282003200,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1282089600,CCH0959,PC-0588,http://craigslist.org/sof/search.html
1,0,1282089600,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282089600,CCH0959,PC-0588,http://linkedin.com/jobs/displayhome.html
1,0,1282176000,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1282176000,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282176000,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282176000,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,0,1282176000,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282176000,CCH0959,PC-0588,http://aol.com/jobs/software.html
1,1,1282176000,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,26008
1,0,1282262400,CCH0959,PC-0588,http://lockheedmartinjobs.com/college.asp
1,0,1282262400,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282262400,CCH0959,PC-0588,http://monster.com/BAE_Systems/yamamah.html
1,0,1282262400,CCH0959,PC-0588,http://lockheedmartinjobs.com/chat.asp
1,0,1282262400,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282521600,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,0,1282521600,CCH0959,PC-0588,http://linkedin.com/jobs/displayhome.html
1,0,1282521600,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,0,1282521600,CCH0959,PC-0588,http://monster.com/BAE_Systems/yamamah.html
1,0,1282521600,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,1,1282608000,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,36158
1,0,1282608000,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282608000,CCH0959,PC-0588,http://craigslist.org/sof/search.html
1,1,1282608000,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,34351
1,0,1282608000,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282694400,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282694400,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchall.aspx?sitesel=All
1,0,1282780800,CCH0959,PC-0588,http://lockheedmartinjobs.com/chat.asp
1,0,1282780800,CCH0959,PC-0588,http://monster.com/BAE_Systems/yamamah.html
1,0,1282780800,CCH0959,PC-0588,http://craigslist.org/sof/search.html
1,0,1282780800,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,0,1282780800,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchall.aspx?sitesel=All
1,0,1282780800,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1282780800,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,0,1282780800,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1282867200,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,1,1282867200,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,20652
1,0,1282867200,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,0,1282867200,CCH0959,PC-0588,http://indeed.com/Bronwyn_Bancroft/boomalli.html
1,0,1282867200,CCH0959,PC-0588,http://lockheedmartin.com
1,0,1282867200,CCH0959,PC-0588,http://careerbuilder.com/Bix_Beiderbecke/bix.html
1,0,1282867200,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchall.aspx?sitesel=All
1,0,1283126400,CCH0959,PC-0588,http://craigslist.org/sof/search.html
1,1,1283126400,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,33280
1,0,1283126400,CCH0959,PC-0588,http://linkedin.com/jobs/displayhome.html
1,0,1283126400,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1283126400,CCH0959,PC-0588,http://lockheedmartinjobs.com/college.asp
1,1,1283126400,Mario.Truman.Telsa@lockheed.com,Cedric.Cyrus.Harrison@dtaa.com,19472
1,0,1283126400,CCH0959,PC-0588,http://yahoo.com/hotjobs/search.html
1,0,1283212800,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchall.aspx?sitesel=All
1,0,1283212800,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1283212800,CCH0959,PC-0588,http://lockheedmartinjobs.com
1,0,1283299200,CCH0959,PC-0588,http://lockheedmartinjobs.com/searchhome.aspx
1,2,1283299200,CCH0959,PC-0588,Connect
1,2,1283299200,CCH0959,PC-0588,Disconnect
1,0,1283299200,CCH0959,PC-0588,http://careerbuilder.com/Bix_Beiderbecke/bix.html
1,2,1283385600,CCH0959,PC-0588,Connect
1,2,1283385600,CCH0959,PC-0588,Disconnect
1,2,1283385600,CCH0959,PC-0588,Connect
1,2,1283385600,CCH0959,PC-0588,Disconnect
1,2,1283385600,CCH0959,PC-0588,Connect
1,2,1283385600,CCH0959,PC-0588,Disconnect
1,2,1283385600,CCH0959,PC-0588,Connect
1,2,1283385600,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283472000,CCH0959,PC-0588,Connect
1,2,1283472000,CCH0959,PC-0588,Disconnect
1,2,1283817600,CCH0959,PC-0588,Connect
1,2,1283817600,CCH0959,PC-0588,Disconnect
1,2,1283817600,CCH0959,PC-0588,Connect
1,2,1283817600,CCH0959,PC-0588,Disconnect
1,2,1283817600,CCH0959,PC-0588,Connect
1,2,1283817600,CCH0959,PC-0588,Disconnect
1,2,1283904000,CCH0959,PC-0588,Connect
1,2,1283904000,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1283990400,CCH0959,PC-0588,Connect
1,2,1283990400,CCH0959,PC-0588,Disconnect
1,2,1284076800,CCH0959,PC-0588,Connect
1,2,1284076800,CCH0959,PC-0588,Disconnect
1,2,1284076800,CCH0959,PC-0588,Connect
1,2,1284076800,CCH0959,PC-0588,Disconnect
1,2,1284076800,CCH0959,PC-0588,Connect
1,2,1284076800,CCH0959,PC-0588,Disconnect
1,2,1284076800,CCH0959,PC-0588,Connect
1,2,1284076800,CCH0959,PC-0588,Disconnect
